'-skip-logged'	'Download -skip-logged failed: '
'livecoding'	'Unpack livecoding failed: Unsupported archive type'
'livedoor-auth'	'Download livedoor-auth failed: Unexpected HTML page found at https://sourceforge.jp/projects/pyldauth/downloads/30914/livedoor-auth-0.0.2.tar.gz'
'ljpy'	"Download ljpy failed: Can't download http://only.mawhrin.net/~mss/thingies/ljpy/thingies/ljpy/ljpy-0.8.1.tar.gz: 404 Not Found"
'll-core'	'OK!'
'll-nightshade'	'OK!'
'll-orasql'	'OK!'
'll-toxic'	'OK!'
'll-xist'	'OK!'
'llsd'	"process failed: Invalid package name: 'dev-python/llsd-_alpha'"
'ln'	'OK!'
'lock-file'	"Download lock-file failed: Download error for http://martin.horcicka.eu/python/lock_file/lock_file-2.0.tar.gz: (110, 'Connection timed out')"
'lockfile'	'OK!'
'locknix'	'OK!'
'lodgeitlib'	'OK!'
'logging'	'OK!'
'loggrok'	'OK!'
'logilab-astng'	'OK!'
'logilab-common'	'OK!'
'logilab-doctools'	'Download logilab-doctools failed: None'
'logilab.pylintinstaller'	'OK!'
'logweeder'	'Unpack logweeder failed: Unsupported archive type'
'lookup-table'	'Download lookup-table failed: None'
'lottanzb'	'OK!'
'lovely.buildouthttp'	'OK!'
'lovely.mail'	'OK!'
'lovely.memcached'	'OK!'
'lovely.persistent'	'OK!'
'lovely.recipe'	'OK!'
'lovely.remotetask'	'OK!'
'lovely.responsecache'	'OK!'
'lovely.session'	'OK!'
'lovely.tal'	'OK!'
'lpo'	'OK!'
'lpqueue'	'OK!'
'lpy'	'Download lpy failed: None'
'lrucache'	"Download lrucache failed: Download error for http://bad.dynu.ca/~evan/lrucache/lrucache-0.2.tar.gz: (-3, 'Temporary failure in name resolution')"
'lunatic-python'	'OK!'
'lwebstring'	'OK!'
'lxml'	'OK!'
'lymon'	'OK!'
'm2twisted'	'OK!'
'm3utorss'	'OK!'
'macholib'	'OK!'
'maclocate'	'OK!'
'macspeechX'	"Unpack macspeechX failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'magic'	'Download magic failed: None'
'magic-square'	'OK!'
'magicdate'	'OK!'
'magick'	'Download magick failed: None'
'magma'	'Get package args failed: ImportError: No module named yaml'
'magnitude'	'OK!'
'maharishi'	'Download maharishi failed: None'
'mailbox2ics'	'OK!'
'maildirproc'	'Unpack maildirproc failed: Empty package encountered: /var/www/localhost/htdocs/pypicache/downloads/maildirproc-0.3.tar.gz'
'mailing-list-filter'	'Get package args failed: ImportError: No module named commons.setup'
'mailinglogger'	'OK!'
'mailman'	'OK!'
'mailman-discard'	'OK!'
'mailtoplone.base'	'OK!'
'mailtoplone.contentrules'	'OK!'
'maim'	'Download maim failed: None'
'mainloop'	'OK!'
'makina.recipe.postgres'	'OK!'
'managesieve'	'Download managesieve failed: None'
'mapit'	'Download mapit failed: None'
'marcdb'	'OK!'
'markdown2'	'pkgsys.setup_args failed: Unrecognized license: http://www.opensource.org/licenses/mit-license.php'
'markdown2latex'	'Get package args failed: ImportError: No module named markdown'
'markup'	'OK!'
'markup.py'	'Download markup.py failed: None'
'mars.adapter'	'OK!'
'mars.contentprovider'	'OK!'
'mars.form'	'OK!'
'mars.layer'	'OK!'
'mars.macro'	'OK!'
'mars.resource'	'OK!'
'mars.template'	'OK!'
'mars.view'	'OK!'
'mars.viewlet'	'OK!'
'martian'	'OK!'
'mathdom'	"Download mathdom failed: Download error for http://prdownloads.sourceforge.net/mathdom/mathdom-0.8.tar.gz?download: (110, 'Connection timed out')"
'matplotlib'	'Unpack matplotlib failed: CRC check failed'
'mattricks'	'OK!'
'mccdaq'	'Download mccdaq failed: None'
'md5diff'	'Download md5diff failed: None'
'meatoo'	'OK!'
'mechanize'	'OK!'
'mechanoid'	'OK!'
'medusa'	'OK!'
'megrok.form'	'OK!'
'megrok.genshi'	'OK!'
'megrok.kss'	'OK!'
'megrok.menu'	'OK!'
'megrok.resourcelibrary'	'OK!'
'megrok.tinymce'	'OK!'
'megrok.trails'	'OK!'
'megrok.yui'	'OK!'
'meide'	'OK!'
'meld3'	'pkgsys.setup_args failed: Unrecognized license: see LICENSE.txt'
'mem package'	'Invalid name: None'
'memento'	'OK!'
'memojito'	'OK!'
'menttes.action.createfolder'	'OK!'
'merlin'	'Get package args failed: '
'metaconf'	'Download metaconf failed: None'
'metar'	'Download metar failed: None'
'metascript'	'OK!'
'mez-xml'	'OK!'
'mglob'	'OK!'
'middleproxy'	'OK!'
'middlestorm'	'OK!'
'midi'	"Unpack midi failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'migrate'	'Get package args failed: '
'milter'	'Download milter failed: None'
'mimir'	'OK!'
'mingus'	'OK!'
'miniconf'	'OK!'
'minideblib'	'OK!'
'minihallib'	'OK!'
'minitage.core'	'OK!'
'minitage.paste'	'OK!'
'minitage.recipe'	'OK!'
'minixsv'	'OK!'
'miracle'	'Download miracle failed: None'
'miro'	'Download miro failed: None'
'miruku'	'OK!'
'mitter'	'OK!'
'mixed'	'OK!'
'mkcode'	'OK!'
'mkvimproject'	'Download mkvimproject failed: None'
'mlsplit'	'OK!'
'mlstats'	'Download mlstats failed: None'
'mm2notes'	'OK!'
'mm2s5'	'OK!'
'mmpython'	'Download mmpython failed: None'
'mock'	'Download mock failed: '
'mocker'	'OK!'
'mode.py'	'Download mode.py failed: None'
'model'	'Download model failed: None'
'modulegraph'	"Download modulegraph failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'moin'	'Download moin failed: None'
'monkey'	'OK!'
'mopowg'	'OK!'
'morbid'	'OK!'
'motmot.FlyMovieFormat'	'OK!'
'motmot.imops'	'Unpack motmot.imops failed: [Errno 21] Is a directory'
'motmot.wxglvideo'	'Unpack motmot.wxglvideo failed: [Errno 21] Is a directory'
'motmot.wxvalidatedtext'	'Unpack motmot.wxvalidatedtext failed: [Errno 21] Is a directory'
'motmot.wxvideo'	'Unpack motmot.wxvideo failed: [Errno 21] Is a directory'
'mozrunner'	'OK!'
'mp3play'	'OK!'
'mp3togo'	'OK!'
'mp3tool'	'Download mp3tool failed: None'
'mpcp'	'OK!'
'mpi4py'	'OK!'
'mpmath'	'OK!'
'mpservlets'	'OK!'
'msec'	'Download msec failed: None'
'msnp.py'	'Download msnp.py failed: None'
'mtrand'	'OK!'
'mtstat'	"Unpack mtstat failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'mtstat-mysql'	"Unpack mtstat-mysql failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'mudpy!'	'Invalid name: None'
'mudpyl'	'OK!'
'mulib'	'OK!'
'multiPy'	'Download multiPy failed: None'
'multidrizzle'	'Download multidrizzle failed: None'
'multimethod'	'OK!'
'multirank.py'	'Download multirank.py failed: None'
'multishove'	'OK!'
'multitask'	'OK!'
'multiui'	"Download multiui failed: Can't download http://seneca.slemish.com/multiui/multiui-0.3.2.tar.gz: 404 Not Found"
'mumbles'	'Download mumbles failed: None'
'munepy'	'Get package args failed: '
'munkres'	'OK!'
'muppy'	"Get package args failed: OSError: [Errno 2] No such file or directory: 'doc/build/html'"
'musicbutler'	'OK!'
'mutagen'	'Download mutagen failed: None'
'mwlib'	'OK!'
'mwlib.ext'	'OK!'
'mwlib.r1'	'Download mwlib.r1 failed: None'
'mwlib.rl'	'OK!'
'mwordgen'	'Download mwordgen failed: None'
'mwparser'	'OK!'
'my.demo.recipe'	"Get package args failed: IOError: [Errno 2] No such file or directory: 'my/demo/recipe/README.txt'"
'myEpyDocs'	'Download myEpyDocs failed: None'
'mySQLBackups'	'Download mySQLBackups failed: None'
'myhdl'	'Download myhdl failed: None'
'mysql-pyrex'	'Get package args failed: '
'mysqldbda'	'OK!'
'myzones'	'OK!'
'nMOLDYN'	'Download nMOLDYN failed: None'
'nabu'	'Download nabu failed: None'
'nagare'	'Get package args failed: '
'nagare.examples'	'OK!'
'naja'	'Download naja failed: None'
'nakedplanning'	"Download nakedplanning failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'nanoicq'	"Download nanoicq failed: Can't download http://www.lightdruid.com/projects/nanoicq/nanoicq-0.1.2.tar.gz: 404 Not Found"
'narval'	'Download narval failed: None'
'nattraverso'	'Get package args failed: '
'ncbi'	'Download ncbi failed: None'
'ncreduce'	'Get package args failed: ImportError: No module named numpy.distutils.core'
'ncvtk'	'Download ncvtk failed: None'
'nd.hopfield'	'OK!'
'nedu'	'Download nedu failed: None'
'nestoria'	'OK!'
'net6mon'	'Download net6mon failed: None'
'netCDF4'	'Get package args failed: ImportError: No module named numpy.distutils.core'
'netaddr'	'OK!'
'netaddress'	'OK!'
'netifaces'	'OK!'
'netlogger'	'pkgsys.setup_args failed: Unrecognized license: LBNL. See http://acs.lbl.gov/NetLoggerWiki/index.php/NetLogger_License'
'netsight.caseinsensitivefieldindex'	'OK!'
'netstring'	'OK!'
'netsyslog'	'OK!'
'networkx'	'OK!'
'neveredit'	'OK!'
'ng.adapter'	'OK!'
'ng.adaptor'	'Download ng.adaptor failed: '
'ng.app.converter'	'OK!'
'ng.app.link'	'OK!'
'ng.app.objectqueue'	'OK!'
'ng.app.photo'	'OK!'
'ng.app.quota'	'OK!'
'ng.app.registry'	'OK!'
'ng.app.remotefs'	'OK!'
'ng.app.rss'	'OK!'
'ng.app.rubricator'	'OK!'
'ng.app.rubricator.algorithm.base'	'OK!'
'ng.app.rubricator.algorithm.tag'	'OK!'
'ng.app.rubricator.tag'	'OK!'
'ng.app.smartbanner'	'OK!'
'ng.content.annotation'	'OK!'
'ng.content.article'	'OK!'
'ng.content.comment'	'OK!'
'ng.content.profile'	'OK!'
'ng.content.remote'	'OK!'
'ng.content.remotearticle'	'OK!'
'ng.ftp'	'OK!'
'ng.fuzzytraverser'	'OK!'
'ng.kit'	'OK!'
'ng.lib'	'OK!'
'ng.registry'	'OK!'
'ng.schema'	'OK!'
'ng.site.addon.remotefs'	'OK!'
'ng.site.addon.rubricator'	'OK!'
'ng.site.content'	'OK!'
'ng.skin.base'	'OK!'
'ng.skin.dreambot'	'OK!'
'ng.skin.eaglenest'	'OK!'
'ng.skin.neural'	'OK!'
'ng.skin.zopelada'	'OK!'
'ng.utility'	'OK!'
'ng.xmlrpcscan'	'OK!'
'ng.zcmljunction'	'OK!'
'ng.zcmlmultiform'	'OK!'
'ngram'	'OK!'
'nltk'	'Download nltk failed: None'
'nmapparser'	'OK!'
'noaadata-py'	'OK!'
'nodedb'	"Unpack nodedb failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'noise'	'OK!'
'noor'	'Download noor failed: None'
'nose'	'OK!'
'nose-dbreloader'	'OK!'
'nose-machineout'	'OK!'
'nose-scenario'	'OK!'
'nose-testconfig'	'OK!'
'noselisting'	'OK!'
'nosepipe'	'OK!'
'nosetrim'	"Download nosetrim failed: [Errno 21] Is a directory: '/var/www/localhost/htdocs/pypicache/downloads/trunk'"
'nosetty'	'OK!'
'nosexml'	'OK!'
'notefinder'	"pkgsys.setup_args failed: 'NoneType' object is unsubscriptable"
'notmm'	'Get package args failed: ImportError: No module named bootstrap'
'nowandnext'	'Download nowandnext failed: None'
'numarray'	'Download numarray failed: None'
'numcaptcha'	'OK!'
'numpy'	'Get package args failed: '
'numscons'	'OK!'
'nva.stormcontainer'	'OK!'
'nwsclient'	'OK!'
'nwsserver'	'OK!'
'oSync'	'Download oSync failed: None'
'objson'	'OK!'
'oc-cab'	'OK!'
'oc-tt'	'OK!'
'ocpgdb'	'OK!'
'odb'	'OK!'
'odfpy'	'OK!'
'odfsvn'	'OK!'
'odt2html.py'	'OK!'
'oggpy'	'OK!'
'okayrpclib'	'Download okayrpclib failed: Unexpected HTML page found at http://pyhacks.suddenthinks.com/okayrpc/okayrpclib-0.0.3.tar.gz'
'oldowan.fasta'	'OK!'
'oldowan.mitomotifs'	'OK!'
'oldowan.mitomotifs-cmdline'	'OK!'
'ollix'	'Download ollix failed: None'
'omidentd'	'OK!'
'omnisync'	'OK!'
'oodoctest'	'OK!'
'oofill'	'OK!'
'ooname'	"Download ooname failed: Download error for http://cec.wustl.edu/~ab9/software/ooname/ooname.tar.gz: (110, 'Connection timed out')"
'open'	"Download open failed: Download error for http://www.mired.org/downloads/open-0.3.tgz: (110, 'Connection timed out')"
'openbabel-python'	'Download openbabel-python failed: None'
'openc.excludesearch'	'OK!'
'opencore'	'OK!'
'opendir'	'Get package args failed: TypeError: unbound method __init__() must be called with Extension instance as first argument (got Extension instance instead)'
'openoffice'	'OK!'
'openoffice-python'	'Unpack openoffice-python failed: Unsupported archive type'
'openoffice.interact'	'OK!'
'openomy'	'OK!'
'opensearch'	'OK!'
'openxmllib'	'OK!'
'ophelia'	'OK!'
'opml'	'OK!'
'optbuild'	'OK!'
'optcomplete'	'Download optcomplete failed: None'
'optik'	'Download optik failed: None'
'optparse-gui'	'Get package args failed: ImportError: No module named wx'
'opulence'	'Download opulence failed: None'
'orbited'	'OK!'
'ore.alchemist'	'OK!'
'ore.extjs'	'Download ore.extjs failed: None'
'ore.recipe.fs'	'OK!'
'ore.recipe.svnlib'	'OK!'
'ore.svn'	'OK!'
'ore.viewlet'	'OK!'
'ore.workflow'	'OK!'
'ore.wsgiapp'	'OK!'
'ore.xapian'	'OK!'
'ore.xd'	'OK!'
'ore.yui'	'Get package args failed: '
'ore.yuiwidget'	'OK!'
'org.keyphrene'	'Download org.keyphrene failed: '
'organdesigner'	'Download organdesigner failed: None'
'origo-submit'	'OK!'
'oroboros'	'OK!'
'orwell'	'Download orwell failed: '
'osg'	'OK!'
'osh'	'OK!'
'ots'	'OK!'
'ownet'	'OK!'
'p4a.audio'	'OK!'
'p4a.calendar'	'OK!'
'p4a.common'	'OK!'
'p4a.fileimage'	'OK!'
'p4a.ploneaudio'	'OK!'
'p4a.plonecalendar'	'OK!'
'p4a.ploneevent'	'OK!'
'p4a.plonetagging'	'OK!'
'p4a.plonevideo'	'OK!'
'p4a.plonevideoembed'	'OK!'
'p4a.subtyper'	'OK!'
'p4a.video'	'OK!'
'p4a.videoembed'	'OK!'
'p4a.z2utils'	'OK!'
'pIDLy'	'OK!'
'pIPC'	'OK!'
'pSQL'	'OK!'
'pYsearch'	'pkgsys.setup_args failed: Unrecognized license: http://www.opensource.org/licenses/bsd-license.php'
'paab.policy'	'OK!'
'packaging'	'OK!'
'paginate'	'OK!'
'paida'	'Download paida failed: None'
'paisley'	'OK!'
'pake'	'Download pake failed: None'
'paloma'	'Get package args failed: '
'pam'	'OK!'
'papyros'	'OK!'
'paragrep'	'OK!'
'parallel'	'OK!'
'paramiko'	'OK!'
'parley'	'pkgsys.setup_args failed: Unrecognized license: Lesser General Public License'
'parsedatetime'	'OK!'
'parti'	'OK!'
'partial'	'OK!'
'pascha'	'OK!'
'pastemacs'	'OK!'
'patcher'	'OK!'
'path'	'Download path failed: None'
'path.py'	'Download path.py failed: None'
'pathtool'	'Download pathtool failed: None'
'paula.testing'	'OK!'
'pax'	'Download pax failed: None'
'pb.recipes.pydev'	'OK!'
'pboolean'	'Download pboolean failed: None'
'pbp.buildbotenv'	'OK!'
'pbp.recipe.noserunner'	'OK!'
'pbp.recipe.trac'	'OK!'
'pbp.scripts'	'OK!'
'pbp.skels'	'OK!'
'pcSVM'	'Download pcSVM failed: None'
'pcSVMdemo'	'Download pcSVMdemo failed: None'
'pcap'	'Download pcap failed: None'
'pcapy'	'Download pcapy failed: Download error for http://oss.coresecurity.com/rep\no/pcapy-0.10.5.zip: no host given'
'pcl-expect'	'OK!'
'pcs'	'Download pcs failed: None'
'pcsets'	'OK!'
'pd.find'	'OK!'
'pd.imalyzer'	'OK!'
'pd.lib'	'OK!'
'pd.refchecker'	'OK!'
'pd.requires'	'OK!'
'pd.requires.rpm'	'OK!'
'pd.subversion.notify'	'OK!'
'pdf2tiff'	'Download pdf2tiff failed: None'
'pdfcat'	'OK!'
'pdfminer'	'Unpack pdfminer failed: Unsupported archive type'
'pdfnup'	'OK!'
'pdfposter'	'OK!'
'pdfrecycle'	'OK!'
'pdfsplit'	'Get package args failed: RuntimeError: Please install pyPdf first, see http://pybrary.net/pyPdf'
'pdk'	'Download pdk failed: None'
'pdock'	'OK!'
'peafowl'	'OK!'
'pear'	'OK!'
'pebl'	'Get package args failed: ImportError: No module named numpy'
'pefile'	'OK!'
'pep362'	'OK!'
'peppy'	'OK!'
'pera'	'Download pera failed: None'
'pesto'	'OK!'
'petsc4py'	'Get package args failed: ImportError: No module named numpy.distutils.core'
'pexif'	"Download pexif failed: Can't download http://www.benno.id.au/code/pexif/pexif-0.12.tar.gz: 404 Not Found"
'pexpect'	'OK!'
'pg-boss'	'OK!'
'pg-foundation'	'OK!'
'pg-greentrunk'	'OK!'
'pg-pqueue'	'OK!'
'pg-proboscis'	'OK!'
'pg-tin'	'OK!'
'pg-typical'	'OK!'
'pg8000'	'OK!'
'pgmigrate'	'OK!'
'pgpmsg'	'OK!'
'pgu'	'OK!'
'photo-uploader'	'Get package args failed: ImportError: No module named pycurl'
'phpserialize'	'OK!'
'pickey'	'OK!'
'pickleshare'	'OK!'
'picurl'	'Get package args failed: ImportError: No module named PyRSS2Gen'
'pida'	"Download pida failed: Can't download http://pida.googlecode.com/files/PIDA-0.5.1.tar.gz: 403 Forbidden"
'pigeon'	'Download pigeon failed: None'
'pilwmf'	'OK!'
'pinder'	'Get package args failed: ImportError: No module named BeautifulSoup'
'pinocchio'	'OK!'
'pipeline.py'	'Download pipeline.py failed: None'
'pipviewer'	'OK!'
'piquant'	'OK!'
'pircsrv'	"Unpack pircsrv failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'pisa'	'pkgsys.setup_args failed: Unrecognized license: Qt Public License (QPL)'
'pit'	'OK!'
'pixie'	'Download pixie failed: None'
'pkcs11'	'OK!'
'pkg-read'	'Get package args failed: ImportError: cannot import name run_setup'
'pkipplib'	'Download pkipplib failed: None'
'pkpgcounter'	'Download pkpgcounter failed: None'
'placeholder'	'OK!'
'plasTeX'	"pkgsys.setup_args failed: 'NoneType' object is unsubscriptable"
'plato'	'Download plato failed: None'
'pli'	'Download pli failed: None'
'plib'	'Get package args failed: '
'plistservices'	'pkgsys.setup_args failed: Unrecognized license: BSD-ish'
'plone-pypi-test'	'Download plone-pypi-test failed: None'
'plone.app.blob'	'OK!'
'plone.app.content'	'OK!'
'plone.app.contentmenu'	'OK!'
'plone.app.contentrules'	'OK!'
'plone.app.controlpanel'	'OK!'
'plone.app.customerize'	'OK!'
'plone.app.form'	'OK!'
'plone.app.gloworm'	'OK!'
'plone.app.i18n'	'OK!'
'plone.app.imaging'	'OK!'
'plone.app.iterate'	'OK!'
'plone.app.kss'	'OK!'
'plone.app.layout'	'OK!'
'plone.app.ldap'	'OK!'
'plone.app.linkintegrity'	'OK!'
'plone.app.openid'	'OK!'
'plone.app.portlets'	'OK!'
'plone.app.protect'	'OK!'
'plone.app.redirector'	'OK!'
'plone.app.relations'	'OK!'
'plone.app.viewletmanager'	'OK!'
'plone.app.vocabularies'	'OK!'
'plone.app.workflow'	'OK!'
'plone.app.z3cform'	'OK!'
'plone.behavior'	'OK!'
'plone.browserlayer'	'OK!'
'plone.checksum'	'OK!'
'plone.contentratings'	'OK!'
'plone.contentrules'	'OK!'
'plone.fieldsets'	'OK!'
'plone.formwidget.autocomplete'	'OK!'
'plone.i18n'	'OK!'
'plone.intelligenttext'	'OK!'
'plone.keyring'	'OK!'
'plone.locking'	'OK!'
'plone.memoize'	'OK!'
'plone.mocktestcase'	'OK!'
'plone.openid'	'OK!'
'plone.portlet.collection'	'OK!'
'plone.portlet.static'	'OK!'
'plone.portlets'	'OK!'
'plone.protect'	'OK!'
'plone.recipe.apache'	'OK!'
'plone.recipe.atcontenttypes'	'OK!'
'plone.recipe.bundlecheckout'	'OK!'
'plone.recipe.cluster'	'OK!'
'plone.recipe.command'	'OK!'
'plone.recipe.deliverance'	'OK!'
'plone.recipe.distros'	'OK!'
'plone.recipe.dzhandle'	'OK!'
'plone.recipe.lxml'	'Download plone.recipe.lxml failed: None'
'plone.recipe.plone'	'OK!'
'plone.recipe.plone21install'	'OK!'
'plone.recipe.plone25install'	'OK!'
'plone.recipe.pound'	'OK!'
'plone.recipe.precompiler'	'OK!'
'plone.recipe.runscript'	'OK!'
'plone.recipe.squid'	'OK!'
'plone.recipe.unifiedinstaller'	'OK!'
'plone.recipe.varnish'	'OK!'
'plone.recipe.zope2install'	'OK!'
'plone.recipe.zope2instance'	"Download plone.recipe.zope2instance failed: Can't download https://svn.plone.org/svn/collective/buildout/plone.recipe.zope2instance/branches/rochael-blobsupport: 403 Forbidden"
'plone.recipe.zope2zeoserver'	"Download plone.recipe.zope2zeoserver failed: Can't download https://svn.plone.org/svn/collective/buildout/plone.recipe.zope2zeoserver/branches/rochael-blobsupport: 403 Forbidden"
'plone.relations'	'OK!'
'plone.reload'	'OK!'
'plone.session'	'OK!'
'plone.theme'	'OK!'
'plone.transforms'	'OK!'
'plone.validatehook'	'OK!'
'plone.z3cform'	'OK!'
'plonehrm.checklist'	'OK!'
'plonehrm.contracts'	'OK!'
'plonehrm.jobperformance'	'OK!'
'plonehrm.notes'	'OK!'
'plonehrm.notifications'	'OK!'
'plonehrm.personaldata'	'OK!'
'plonerelations.ATField'	'OK!'
'plonetheme.andreas01'	'OK!'
'plonetheme.blueblog'	'OK!'
'plonetheme.bluegray'	'OK!'
'plonetheme.criticas'	'OK!'
'plonetheme.equipoteih'	'OK!'
'plonetheme.essay'	'OK!'
'plonetheme.greencommunity'	'OK!'
'plonetheme.labs'	'OK!'
'plonetheme.minimalist'	'OK!'
'plonetheme.nonzero'	'OK!'
'plonetheme.python'	'OK!'
'plonetheme.relic'	'OK!'
'plonetheme.simplicity'	'Download plonetheme.simplicity failed: None'
'plonetheme.terrafirma'	'OK!'
'plonetheme.wrd'	'OK!'
'plonetheme.xtheme'	'OK!'
'plopmail'	'Download plopmail failed: None'
'plush'	'OK!'
'ply'	'OK!'
'pmock'	'OK!'
'pocketwsgi'	'OK!'
'podofo'	'Get package args failed: ImportError: No module named sipdistutils'
'polib'	'OK!'
'polipoly'	'Get package args failed: ImportError: No module named shapelib'
'poptool'	"Download poptool failed: Can't download http://www.deadlybloodyserious.com/Python/poptool/poptool-0.2.4.tar.gz: 404 Not Found"
'portio'	'OK!'
'portmidizero'	'OK!'
'poster'	'Download poster failed: None'
'postmarkup'	'OK!'
'pouch'	'OK!'
'powerline'	'OK!'
'pownce-api'	'OK!'
'pp'	'OK!'
'ppgplot'	'Download ppgplot failed: None'
'pprocess'	'Download pprocess failed: None'
'premolo-alfie'	'Download premolo-alfie failed: None'
'premolo-apache'	'Download premolo-apache failed: None'
'premolo-base'	'Download premolo-base failed: None'
'premolo-storage'	'Download premolo-storage failed: None'
'pretty'	'Download pretty failed: None'
'prioritized-methods'	'Download prioritized-methods failed: None'
'processing'	'Download processing failed: None'
'profile-it'	'Download profile-it failed: None'
'profilehooks'	'Download profilehooks failed: None'
'progressbar'	'Download progressbar failed: None'
'projman'	'Download projman failed: None'
'protobuf'	'Download protobuf failed: None'
'provide'	'Download provide failed: None'
'proxylet'	'Download proxylet failed: None'
'pry'	'Download pry failed: None'
'prynt'	'OK!'
'pseudoLocalizer'	'Download pseudoLocalizer failed: None'
'psitop'	'Download psitop failed: None'
'pso'	'Download pso failed: None'
'psolr'	'Download psolr failed: None'
'psyco'	'Download psyco failed: None'
'psycopg'	'Download psycopg failed: None'
'psycopg2'	'Download psycopg2 failed: None'
'psycopgda'	'Download psycopgda failed: None'
'psync'	'Download psync failed: None'
'pthy'	'Download pthy failed: None'
'ptml'	'Download ptml failed: None'
'ptrace'	'Download ptrace failed: None'
'ptypes'	'Download ptypes failed: None'
'pubsub'	'Download pubsub failed: None'
'pudge'	'Download pudge failed: None'
'pullparser'	'Download pullparser failed: None'
'pulp'	'Download pulp failed: None'
'pupynere'	'Download pupynere failed: None'
'pushpage'	'Download pushpage failed: None'
'pushy'	'Download pushy failed: None'
'puzzler'	'Download puzzler failed: None'
'pwytter'	'Download pwytter failed: None'
'pxc200'	'Download pxc200 failed: None'
'py'	'Download py failed: None'
'py-ApeTag'	'Download py-ApeTag failed: None'
'py-Asterisk'	'Download py-Asterisk failed: None'
'py-Growl'	'Download py-Growl failed: None'
'py-apev2tag'	'Download py-apev2tag failed: None'
'py-aspsms'	'Download py-aspsms failed: None'
'py-bankpassweb'	'Download py-bankpassweb failed: '
'py-date-time'	'Download py-date-time failed: '
'py-easybmp'	'Download py-easybmp failed: '
'py-epoll'	'Download py-epoll failed: '
'py-graph'	'Download py-graph failed: '
'py-ica'	'Download py-ica failed: '
'py-interface'	'Download py-interface failed: '
'py-itimer'	'Download py-itimer failed: '
'py-kqueue'	'Download py-kqueue failed: '
'py-libmpdclient'	'Download py-libmpdclient failed: '
'py-libmpdclient2'	'Download py-libmpdclient2 failed: '
'py-modularapp'	'Download py-modularapp failed: '
'py-net-libs'	'Download py-net-libs failed: None'
'py-notify'	'OK!'
'py-radius'	'Download py-radius failed: None'
'py-restclient'	"Unpack py-restclient failed: [Errno 22] Invalid argument: '/var/tmp/pypi/unpack/.'"
'py-rrdtool'	'Download py-rrdtool failed: None'
'py-sendfile'	'OK!'
'py-sg'	'OK!'
'py-smugmug'	'OK!'
'py-wire'	'Download py-wire failed: None'
'py-wired'	'Download py-wired failed: None'
'py2app'	'OK!'
'py2exe'	'Download py2exe failed: None'
'py2html'	'Download py2html failed: None'
'py2tex'	'OK!'
'py3to2'	'Download py3to2 failed: None'
'pyAA'	'Download pyAA failed: None'
'pyADtools'	'Download pyADtools failed: None'
'pyAIR'	'Download pyAIR failed: None'
'pyAIRDemo'	'Download pyAIRDemo failed: None'
'pyAnagrams'	'Download pyAnagrams failed: None'
'pyBCP'	'Download pyBCP failed: None'
'pyBloadHC11'	'Download pyBloadHC11 failed: None'
'pyCDK'	'Download pyCDK failed: None'
'pyCaBio'	'pkgsys.setup_args failed: Unrecognized license: caBIG Open Source Software License'
'pyCalverter'	'OK!'
'pyCompileLib'	'Download pyCompileLib failed: None'
'pyDATR'	'Download pyDATR failed: None'
'pyDB2'	'OK!'
'pyDBF'	'OK!'
'pyDaemon'	'Download pyDaemon failed: None'
'pyDes'	'Download pyDes failed: '
'pyEXEInstaller'	'Download pyEXEInstaller failed: None'
'pyEXEscanner'	'Download pyEXEscanner failed: None'
'pyEggs'	'Download pyEggs failed: None'
'pyExcelerator'	'OK!'
'pyFPDF'	'Download pyFPDF failed: None'
'pyFTN'	'OK!'
'pyFargo'	'Download pyFargo failed: None'
'pyFargoReports'	'Download pyFargoReports failed: None'
'pyFltk'	'Download pyFltk failed: None'
'pyFluidSynth'	'OK!'
'pyGAPI'	'Download pyGAPI failed: None'
'pyGAPI: Google Analytics API'	'Invalid name: None'
'pyGPIBscope'	'Download pyGPIBscope failed: None'
'pyGTrends'	'Download pyGTrends failed: None'
'pyGTrends 0.8'	'Invalid name: None'
'pyGTrends: Quasi-API for authenticating and pulling data from Google Trends'	'Invalid name: None'
'pyGlobus'	'Download pyGlobus failed: None'
'pyGoogleBot'	'Download pyGoogleBot failed: None'
'pyGoogleHound'	'Download pyGoogleHound failed: None'
'pyGridWare'	'Download pyGridWare failed: None'
'pyGsi'	'OK!'
'pyHook'	'Download pyHook failed: None'
'pyIDL'	'Download pyIDL failed: '
'pyISBNdb'	"Download pyISBNdb failed: Can't download http://heureusement.org/programming/pyISBNdb/pyISBNdb-0.1.tar.gz: 500 "
'pyIrcServer'	'Unpack pyIrcServer failed: Unsupported archive type'
'pyIsis'	'Download pyIsis failed: None'
'pyJavaScript2Python'	'Download pyJavaScript2Python failed: None'
